spelling,pronunciation,freq,syllables
accordingly,ekcrd1Nli,93,4
accordion,ekcrdien,67,4
account,ekOnt,2280,2
accountable,ekOntebel,72,4
accountant,ekOntent,315,3
accountants,ekOntents,55,3
accounted,ekOnted,154,3
accounting,ekOnt1N,230,3
accounts,ekOnts,534,2
accuracy,@kj3resi,76,4
accurate,@kj3ret,400,3
accurately,@kj3retli,58,4
accusation,@kjez8Sen,143,4
accusation,@kjuz8Sen,143,4
accusations,@kjez8Senz,153,4
accusations,@kjuz8Senz,153,4
accuse,ekjuz,290,2
accused,ekjuzd,666,2
accusing,ekjuz1N,252,3
accustomed,ek^stemd,149,3
ace,8s,751,1
aces,8s1z,202,2
ache,8k,127,1
aches,8ks,77,1
achieve,eCiv,374,2
achieved,eCivd,219,2
achievement,eCivment,178,3
achievements,eCivments,55,3
achilles,ek1liz,115,3
aching,8k1N,105,2
acid,@sed,508,2
acids,@s1dz,42,2
acknowledge,eknal1G,313,3
acknowledged,@knaleGd,100,3
acme,@kmi,64,2
acne,@kni,46,2
acorn,8kcrn,37,2
acoustic,ekustek,49,3
acquaintance,ekw8ntens,273,3
acquaintances,ekw8ntensez,54,4
acquainted,ekw8nt1d,231,3
acquiesce,@kwiEs,3,3
acquiescence,@kwiEsens,5,4
acquire,ekw5r,135,2
acquired,ekw5rd,228,2
acquiring,ekw5r1N,43,3
acquisition,@kwez1Sen,74,4
acquitted,ekw1ted,78,3
acre,8k3r,93,2
acres,8k3rz,234,2
acrobat,@kreb@t,30,3
acronym,@kren1m,15,3
across,ekrcs,4801,2
act,@kt,5565,1
acted,@kt1d,548,2
actin,@kten,54,2
acting,@kt1N,2675,2
action,@kSen,3115,2
actions,@kSenz,620,2
activate,@ktev8t,238,3
activated,@kt1v8t1d,220,4
activating,@ktev8t1N,44,4
activation,@ktev8Sen,43,4
active,@kt1v,584,2
actively,@ktevli,42,3
activist,@ktevest,50,3
activities,@kt1v1tiz,439,4
activity,@kt1v1ti,657,4
actor,@kt3r,1343,2
actors,@kt3rz,644,2
actress,@ktres,817,2
actresses,@ktresez,115,3
acts,@kts,636,1
actual,@kCeel,884,3
actually,@kCueli,16439,4
acute,ekjut,150,2
ad,@d,694,1
adam,@dem,1890,2
adamant,@dement,50,3
adams,@demz,470,2
adapt,ed@pt,134,2
adaptation,@dept8Sen,81,4
adapted,ed@pted,56,3
add,@d,1686,1
added,@d1d,492,2
adder,@d3r,73,2
addict,@d1kt,273,2
addict,ed1kt,273,2
addicted,ed1kt1d,231,3
addiction,ed1kSen,199,3
addictive,ed1ktev,57,3
addicts,@d1kts,106,2
addicts,ed1kts,106,2
adding,@d1N,205,2
addison,@desen,91,3
addition,ed1Sen,395,3
additional,ed1Senel,300,4
address,@drEs,2666,2
addressed,edrEst,194,2
addresses,@drEses,162,3
addresses,edrEses,162,3
addressing,@drEs1N,107,3
addressing,edrEs1N,107,3
adds,@dz,201,1
ade,8d,15,1
adequate,@dekwet,132,3
adhesive,@dhis1v,47,3
adhesive,edhis1v,47,3
adieu,edju,94,2
adieu,edu,94,2
adios,adios,159,3
adjacent,eG8sent,68,3
adjective,@G1kt1v,25,3
adjoining,eG2n1N,57,3
adjourn,eG3rn,66,2
adjourned,eG3rnd,250,2
adjudication,eGudek8Sen,9,5
adjust,eG^st,287,2
adjusted,eG^sted,92,3
adjusting,eG^st1N,121,3
adjustment,eG^stment,158,3
adjustments,eG^stments,71,3
adjutant,@Getent,45,3
administer,edm1n1st3r,85,4
administered,edm1n1st3rd,76,4
administration,@dm1n1str8Sen,387,5
administrative,edm1n1str8t1v,82,5
administrator,edm1n1str8t3r,84,5
admirable,@dm3rebel,133,4
admiral,@dm3rel,845,3
admiration,@dm3r8Sen,107,4
admire,@dm5r,722,2
admire,edm5r,722,2
admired,edm5rd,187,2
admirer,@dm5r3r,151,3
admirers,edm5r3rz,49,3
admiring,@dm5r1N,141,3
admission,@dm1Sen,181,3
admission,edm1Sen,181,3
admissions,@dm1Senz,111,3
admit,edm1t,3019,2
admits,edm1ts,105,2
admitted,edm1ted,467,3
admittedly,@dm1tedli,47,4
admitting,@dm1t1N,157,3
ado,edu,77,2
adolescence,@delEsens,44,4
adolescence,@dolEsens,44,4
adolescent,@delEsent,94,4
adolescent,@dolEsent,94,4
adolf,8dalf,69,2
adolph,8dclf,42,2
adopt,edapt,238,2
adopted,edapted,430,3
adopting,edapt1N,60,3
adoption,edapSen,239,3
adorable,edcrebel,537,4
adore,edcr,394,2
adored,edcrd,125,2
adores,edcrz,91,2
adrenaline,edrEnelen,168,4
adrift,edr1ft,51,2
ads,@dz,258,1
adult,edelt,729,2
adultery,ed^lt3ri,99,4
adults,@delts,488,2
adults,@delts,488,2
adults,ed^lts,488,2
adults,ed^lts,488,2
advance,edv@ns,815,2
advanced,edv@nst,451,2
advancement,edv@nsment,63,3
advances,edv@nsez,148,3
advancing,edv@ns1N,76,3
advantage,@dv@nt1G,1125,3
advantages,edv@nt1Gez,144,4
adventure,@dvEnC3r,685,3
adventure,edvEnC3r,685,3
adventures,@dvEnC3rz,184,3
adventurous,@dvEnC3res,62,4
adverb,@dv3rb,10,2
adversary,@dv3rsEri,77,4
adversity,@dv3rs1ti,54,4
advertise,@dv3rt5z,84,3
advertised,@dv3rt5zd,52,3
advertisement,@dv3rt1sment,61,4
advertisement,@dv3rt5zment,61,4
advertising,@dv3rt5z1N,379,4
advice,@dv5s,2447,2
advisable,edv5zebel,40,4
advise,edv5z,622,2
advised,edv5zd,267,2
adviser,@dv5z3r,53,3
advising,@dv5z1N,68,3
advisor,@dv5z3r,225,3
advisors,@dv5z3rz,66,3
advisory,@dv5z3ri,51,4
advocate,@dveket,113,3
aegean,8Gien,19,3
aerial,Eriel,129,3
aerobics,Erob1ks,79,3
aeronautical,Eronatekel,12,5
aeroplane,Eropl8n,71,3
aerospace,Erosp8s,55,3
aesthetic,EsTEt1k,34,3
afar,efar,59,2
affair,efEr,1502,2
affairs,efErz,747,2
affect,@fEkt,568,2
affect,efEkt,568,2
affect,efEkt,568,2
affect,@fEkt,568,2
affected,efEkt1d,345,3
affecting,efEkt1N,130,3
affection,efEkSen,431,3
affectionate,efEkSenet,115,4
affections,efEkSenz,61,3
affects,@fEkts,244,2
affects,efEkts,244,2
affidavit,@f1d8v1t,100,4
affiliated,ef1li8ted,40,5
affirm,ef3rm,17,2
affirmative,ef3rmet1v,241,4
afflicted,efl1kted,65,3
affliction,efl1kSen,60,3
afford,efcrd,2266,2
afghanistan,@fg@nest@n,93,4
afloat,eflot,85,2
afoot,efUt,52,2
afraid,efr8d,12631,2
africa,@fr1ke,957,3
african,@fr1ken,345,3
africans,@fr1kenz,54,3
afro,@fro,57,2
aft,@ft,180,1
after,@ft3r,34812,2
afterlife,@ft3rl5f,81,3
aftermath,@ft3rm@T,53,3
afternoon,@ft3rnun,4666,3
afternoons,@ft3rnunz,101,3
aftershave,@ft3rS8v,55,3
afterward,@ft3rw3rd,112,3
afterwards,@ft3rw3rdz,714,3
again,egEn,40428,2
against,egEnst,10288,2
agamemnon,@gemEmnan,72,4
age,8G,4039,1
aged,8G1d,183,2
aged,8Gd,183,1
agencies,8Gensiz,164,3
agency,8Gensi,991,3
agenda,eGEnde,373,3
agent,8Gent,5235,2
agents,8Gents,1074,2
ages,8G1z,567,2
aggie,@gi,106,2
aggravate,@grev8t,37,3
aggravated,@grev8ted,64,4
aggravation,@grev8Sen,59,4
aggression,egrESen,143,3
aggressive,egrEs1v,405,3
aging,8G1N,131,2
agitate,@Get8t,22,3
agitated,@Get8ted,128,4
ago,ego,14592,2
agony,@geni,191,3
agree,egri,3298,2
agreeable,egriebel,81,4
agreed,egrid,1832,2
agreeing,egri1N,106,3
agreement,egriment,892,3
agreements,egriments,41,3
agrees,egriz,219,2
agricultural,@gr1k^lC3rel,48,5
agriculture,@gr1k^lC3r,56,4
ah,a,10535,1
aha,aha,360,2
ahab,8h@b,41,2
ahead,ehEd,10115,2
ahem,ehEm,391,2
ahold,ehold,307,2
ahoy,eh2,189,2
aid,8d,709,1
aide,8d,103,1
aiding,8d1N,54,2
aids,8dz,54,1
ail,8l,11,1
aim,8m,758,1
aimed,8md,99,1
aiming,8m1N,193,2
aims,8mz,60,1
air,Er,7090,1
airborne,Erbcrn,215,2
aircraft,Erkr@ft,482,2
aired,Erd,45,1
airfield,Erfild,118,2
airforce,Erfcrs,20,2
airline,Erl5n,331,2
airlines,Erl5nz,191,2
airlock,Erlck,42,2
airplane,Erpl8n,557,2
airplanes,Erpl8nz,164,2
airport,Erpcrt,1940,2
airports,Erpcrts,70,2
airspace,Ersp8s,82,2
airstrip,Erstr1p,57,2
airtight,Ert5t,57,2
airway,Erw8,83,2
airways,Erw8z,45,2
aisle,5l,379,1
ajax,8G@ks,53,2
al,@l,5306,1
alabama,@leb@me,233,4
aladdin,el@d1n,85,3
alamo,@lemo,73,3
alan,@len,1676,2
alarm,elarm,1522,2
alarmed,elarmd,151,2
alarming,elarm1N,58,3
alarms,elarmz,157,2
alas,el@s,195,2
alaska,el@ske,223,3
albanian,@lb8nien,50,4
albany,clbeni,107,3
albert,@lb3rt,949,2
albino,@lb5no,59,3
album,@lbem,522,2
albums,@lbemz,119,2
albuquerque,@lbek3rki,127,4
alcohol,@lkehal,845,3
alcoholic,@lkehal1k,316,4
alcoholics,@lkehal1ks,54,4
alcoholics,@lkehcl1ks,54,4
alcoholism,@lkehal1zm,43,4
alcoholism,@lkehcl1zm,43,4
alden,alden,85,2
alderman,cld3rmen,41,3
ale,8l,202,1
alec,@l1k,219,2
alert,el3rt,1051,2
alerted,el3rted,91,3
alexander,@l1gz@nd3r,485,4
alf,@lf,60,1
alfonso,@lfanso,44,3
alfred,@lfr1d,372,2
alfredo,@lfr8do,32,3
algae,@lGi,22,2
algebra,@lGebre,90,3
algorithm,@lg3r1Dm,27,3
alias,8lies,208,3
aliases,8liesez,43,4
alibi,@leb5,426,3
alibis,@leb5z,58,3
alice,@l1s,1352,2
alien,8lien,889,3
alienated,8lien8ted,41,5
aliens,8lienz,491,3
aligned,el5nd,40,2
alignment,el5nment,67,3
alike,el5k,579,2
alimony,@lemoni,132,4
alison,@l1sen,378,3
alive,el5v,7878,2
all,cl,263255,1
allah,ale,225,2
allan,@len,184,2
allegations,@leg8Senz,110,4
alleged,elEGd,203,2
allegedly,elEGedli,113,4
allegiance,eliGens,159,3
allen,@len,609,2
allergic,el3rG1k,413,3
allergies,@l3rGiz,139,3
allergy,@l3rGi,86,3
alley,@li,831,2
alleys,@liz,58,2
alleyway,@liw8,40,3
alliance,el5ens,465,3
allied,@l5d,147,2
allied,el5d,147,2
allies,@l5z,260,2
allies,el5z,260,2
alligator,@leg8t3r,178,4
alligators,@leg8t3rz,65,4
allow,elO,2263,2
allowance,elOens,265,3
allowed,elOd,2286,2
allowing,elO1N,250,3
allows,elOz,279,2
alloy,@l2,52,2
ally,@l5,1666,2
ally,@li,1666,2
ally,el5,1666,2
alma,alme,294,2
almanac,almen@k,43,3
almighty,clm5ti,446,3
almond,almend,56,2
almonds,almendz,69,2
almost,clmost,9857,2
aloft,elaft,37,2
aloha,eloha,149,3
alone,elon,15735,2
along,elcN,9330,2
alongside,elcNs5d,192,3
aloud,elOd,94,2
alpha,@lfe,414,2
alphabet,@lfebEt,127,3
alphabetical,@lfebEt1kel,44,5
alphabetize,@lfebet5z,5,4
alpine,@lp5n,65,2
alps,@lps,62,1
already,clrEdi,16246,3
alright,clr5t,4044,2
alrighty,clr5ti,83,3
also,clso,10528,2
altair,altEr,64,2
altar,clt3r,259,2
alter,alt3r,244,2
alterations,clt3r8Senz,48,4
altered,clt3rd,228,2
alternate,clt3rn8t,180,3
alternate,clt3rnet,180,3
alternative,clt3rnet1v,476,4
alternatives,clt3rnetevz,83,4
althea,@lTie,46,3
although,clDo,2143,2
altitude,@lt1tud,198,3
alto,@lto,69,2
altogether,cltegED3r,327,4
alum,@lem,7,2
aluminum,elumenem,115,4
alumni,el^mn5,89,3
always,clw8z,33418,2
alzheimer,@lzh5m3r,85,3
am,@m,56438,1
amalgamation,em@lgem8Sen,6,5
amateur,@meC3r,334,3
amateur,@met3r,334,3
amateurs,@meC3rz,176,3
amateurs,@met3rz,176,3
amaze,em8z,82,2
amazed,em8zd,261,2
amazes,em8zez,43,3
amazing,em8z1N,4167,3
amazingly,em8z1Nli,91,4
amazon,@mezan,148,3
ambassador,@mb@sed3r,689,4
ambassadors,@mb@sed3rz,43,4
amber,@mb3r,473,2
ambidextrous,@mb1dEkstres,12,4
ambition,@mb1Sen,273,3
ambitions,@mb1Senz,93,3
ambitious,@mb1Ses,243,3
ambivalent,@mb1velent,12,4
ambrose,@mbroz,169,2
ambrosia,@mbroZe,49,3
ambulance,@mbjulens,1143,3
ambulances,@mbjelensez,64,4
ambush,@mbUS,277,2
ambushed,@mbUSt,109,2
amelia,emilje,240,3
amen,8mEn,1325,2
amen,amEn,1325,2
amendment,emEndment,209,3
amends,emEndz,94,2
america,emEr1ke,3974,4
american,emEr1ken,5213,4
americans,emEr1kenz,1293,4
amethyst,@m1T1st,6,3
amid,em1d,45,2
amigo,emigo,259,3
amigos,emigoz,108,3
amir,em1r,61,2
amish,am1S,90,2
ammo,@mo,274,2
ammonia,emonje,76,3
ammunition,@mjen1Sen,300,4
amnesia,@mniZe,189,3
amnesty,@mnesti,68,3
among,em^N,1729,2
amongst,em^Nst,364,2
amorous,@m3res,47,3
amos,8mes,81,2
amount,emOnt,1262,2
amounts,emOnts,181,2
amour,amur,95,2
amp,@mp,93,1
ampersand,@mp3rs@nd,3,3
amphibian,@mf1bien,20,4
ample,@mpel,93,2
amps,@mps,49,1
amputate,@mpjet8t,44,3
amputation,@mpjet8Sen,43,4
amsterdam,@mst3rd@m,217,3
amulet,@mjelet,118,3
amuse,emjuz,133,2
amused,emjuzd,128,2
amusement,emjuzment,191,3
amusing,emjuz1N,469,3
amy,8mi,2498,2
an,@n,95071,1
ana,@ne,264,2
ana,ane,264,2
anachronism,en@kren1zm,5,4
anal,8nel,138,2
analogy,en@leGi,58,4
analyse,@nel5z,45,3
analysis,en@l1s1s,563,4
analyst,@nel1st,177,3
analysts,@nelests,56,3
analyze,@nel5z,165,3
analyzed,@nel5zd,110,3
analyzing,@nel5z1N,93,4
anarchy,@n3rki,103,3
anatomy,en@temi,163,4
ancestor,@nsEst3r,86,3
ancestors,@nsEst3rz,279,3
anchor,@Nk3r,378,2
anchors,@Nk3rz,40,2
anchovies,@nCoviz,50,3
anchovy,@nCovi,7,3
ancient,8nCent,1105,2
and,@nd,682780,1
anders,@nd3rz,80,2
anderson,@nd3rsen,750,3
andre,andr8,337,2
andrew,@ndru,1085,2
android,@ndr2d,45,2
andromeda,@ndramede,413,4
anecdote,@n1kdot,55,3
anecdotes,@n1kdots,40,3
anemone,enEmeni,13,4
anesthesia,@n1sTiZie,101,5
anesthetic,@nesTEt1k,68,4
aneurysm,@nj3r1zm,101,3
anew,enju,44,2
anew,enu,44,2
angel,8nGel,3992,2
angeles,@nGel1s,1551,3
angeles,@nGeles,1551,3
angelica,@nGEleke,85,4
angelina,@nGEline,58,4
angels,8nGelz,744,2
anger,@Ng3r,991,2
angina,@nG5ne,46,3
angle,@Ngel,761,2
angles,@Ngelz,164,2
angry,@Ngri,3008,2
angst,@Nst,47,1
anguish,@Ngw1S,110,2
angus,@Nges,208,2
animal,@nemel,2320,3
animals,@nemelz,1993,3
animated,@nem8t1d,61,4
animation,@nem8Sen,62,4
ankle,@Nkel,409,2
ankles,@Nkelz,219,2
ann,@n,1296,1
anna,@ne,1738,2
annapolis,en@pel1s,42,4
anne,@n,1065,1
annex,@nEks,43,2
annie,@ni,1769,2
annihilation,en5el8Sen,41,5
anniversary,@nev3rseri,939,5
announce,enOns,498,2
announced,enonst,289,2
announcement,enOnsment,525,3
announcements,enOnsmEnts,68,3
announcer,enOns3r,574,3
announces,enOnsez,58,3
announcing,enOns1N,127,3
annoy,en2,128,2
annoyed,en2d,175,2
annoying,en21N,567,3
annual,@njuel,367,3
annulled,en^ld,42,2
annulment,en^lment,76,3
anomaly,enameli,63,4
anonymity,@nen1m1ti,46,5
anonymous,enanemes,429,4
another,en^D3r,25970,3
answer,@ns3r,8986,2
answered,@ns3rd,775,2
answering,@ns3r1N,715,3
answers,@ns3rz,1527,2
ant,@nt,273,1
antarctica,@ntarkt1ke,53,4
ante,@nti,111,2
antelope,@ntelop,50,3
antenna,@ntEne,122,3
anterior,@nt1ri3r,48,4
anthem,@nTem,96,2
anthill,@nth1l,29,2
anthony,@nTeni,785,3
anthrax,@nTr@ks,66,2
anthropologist,@nTrepaleG1st,53,5
anthropology,@nTrepaleGi,67,5
antibiotics,@nt5b5at1ks,187,5
antibiotics,@ntib5at1ks,187,5
antichrist,@ntikr5st,49,3
anticipate,@nt1sep8t,129,4
anticipated,@nt1sep8ted,134,5
anticipating,@nt1sep8t1N,53,5
anticipation,@nt1sep8Sen,127,5
antics,@nt1ks,50,2
antidote,@nt1dot,221,3
antique,@ntik,309,2
antiques,@ntiks,137,2
antiseptic,@ntesEptek,44,4
antisocial,@nt5soSel,41,4
antisocial,@ntisoSel,41,4
antler,@ntl3r,15,2
antlers,@ntl3rz,46,2
antoinette,@ntw1nEt,63,3
antonio,@ntonio,319,4
ants,@nts,365,1
anus,8nes,56,2
anxiety,@Nz5eti,345,4
anxious,@NkSes,719,2
anxious,@NSes,719,2
any,Eni,56068,2
anybody,Enibedi,11573,4
anyhow,EnihO,773,3
anymore,Enimcr,9597,3
anyone,Eniw^n,13018,3
anyplace,Enipl8s,277,3
anything,EniT1N,46270,3
anytime,Enit5m,1248,3
anyway,Eniw8,12164,3
anyways,Eniw8z,444,3
anywhere,EniwEr,4501,3
aorta,8crte,78,3
ap,@p,104,1
apache,ep@Ci,251,3
apaches,ep@Ciz,107,3
apart,epart,2398,2
apartheid,epart5t,19,3
apartment,epartment,4235,3
apartments,epartments,215,3
ape,8p,493,1
aperture,@p3rCer,14,3
apes,8ps,209,1
apex,8pEks,43,2
aphrodisiac,@frodizi@k,82,5
aphrodite,@fred5ti,101,4
apiece,epis,202,2
apocalypse,epakel1ps,126,4
apollo,epalo,360,3
apologies,epaleGiz,449,4
apologize,epaleG5z,2518,4
apologized,epaleG5zd,183,4
apologizing,epaleG5z1N,139,5
apology,epaleGi,804,4
apostle,epcsel,71,3
apostrophe,epastrefi,12,4
apothecary,epaTekEri,20,5
appalled,epcld,59,2
appalling,epcl1N,99,3
apparatus,@perates,77,4
apparent,epErent,215,3
apparently,epErentli,2415,4
appeal,epil,663,2
appealed,epild,55,2
appealing,epil1N,162,3
appeals,epilz,137,2
appear,ep1r,1192,2
appearance,ep1rens,591,3
appearances,ep1rensez,156,4
appeared,ep1rd,499,2
appearing,ep1r1N,119,3
appears,ep1rz,1074,2
appease,epiz,25,2
appendicitis,epEnd1s5tes,48,5
appendix,epEnd1ks,133,3
appetite,@pet5t,456,3
appetites,@pet5ts,46,3
appetizer,@pet5z3r,61,4
appetizers,@pet5z3rz,54,4
applaud,eplcd,109,2
applauding,eplcd1N,39,3
applause,eplcz,576,2
apple,@pel,1207,2
applejack,@pelG@k,29,3
apples,@pelz,423,2
applesauce,@pelscs,30,3
appliance,epl5ens,41,3
appliances,epl5ensez,56,4
applicants,@plekents,44,3
application,@plek8Sen,510,4
applications,@plek8Senz,158,4
applied,epl5d,314,2
applies,epl5z,127,2
apply,epl5,638,2
applying,epl51N,184,3
appoint,ep2nt,104,2
appointed,ep2nt1d,270,3
appointed,ep2nted,270,3
appointment,ep2ntment,1559,3
appointments,ep2ntments,173,3
appreciate,epriSi8t,4373,4
appreciated,epriSi8t1d,292,5
appreciates,epriSi8ts,159,4
appreciation,epriSi8Sen,261,5
appreciative,epriSet1v,41,4
apprehend,@prehEnd,73,3
apprehended,@prehEnded,105,4
apprehension,@pr1hEnSen,39,4
apprentice,eprEntes,99,3
approach,eproC,1070,2
approached,eproCt,220,2
approaches,eproCez,171,3
approaching,eproC1N,653,3
appropriate,epropri8t,657,4
appropriate,epropriet,657,4
appropriately,eproprietli,55,5
approval,epruvel,428,3
approve,epruv,580,2
approved,epruvd,331,2
approves,epruvz,44,2
approximate,epraks1m8t,64,4
approximate,epraks1met,64,4
approximately,epraksemetli,380,5
apricot,8prekat,32,3
april,8prel,1053,2
apron,8pren,136,2
apropos,@prepo,17,3
apt,@pt,89,1
aptitude,@ptetud,55,3
aqua,@kwe,70,2
aqua,akwe,70,2
aquarium,ekwEriem,141,4
aquarius,ekwEries,58,4
arab,@reb,174,2
arab,Ereb,174,2
arabia,er8bie,76,4
arabian,er8bien,63,4
arabic,@reb1k,174,3
arabic,Ereb1k,174,3
arabs,@rebz,108,2
arabs,Erebz,108,2
arbitrary,arbetrEri,52,4
arc,ark,247,1
arcade,ark8d,111,2
arcadia,ark8die,49,4
arch,arC,188,1
archaeological,arkielaGekel,48,6
archaeologist,arkialeG1st,57,5
archaic,ark81k,35,3
archbishop,arCb1Sep,188,3
archduke,arCduk,46,2
archer,arC3r,278,2
archers,arC3rz,69,2
arches,arCez,43,2
archie,arCi,299,2
archipelago,arkepElego,7,5
architect,arketEkt,334,3
architects,arketEkts,55,3
architectural,arketEkC3rel,65,5
architecture,arketEkC3r,162,4
archive,ark5v,67,2
archives,ark5vz,129,2
arctic,arkt1k,100,2
arduous,arGues,34,3
are,ar,265672,1
area,Erie,3821,3
areas,Eriez,456,3
arena,erine,185,3
ares,Eriz,161,2
argentina,arGentine,134,4
argh,arg,295,1
argo,argo,42,2
argue,argju,1007,2
argued,argjud,138,2
arguing,argju1N,544,3
argument,argjument,867,3
arguments,argjements,230,3
argyle,arg5l,43,2
arid,@red,16,2
arid,Ered,16,2
ariel,Eriel,361,3
arise,er5z,151,2
arises,3r5zez,53,3
aristocracy,Erestakresi,32,5
aristocrat,3r1stekr@t,69,4
aristocrats,3r1stekr@ts,112,4
aristotle,Erestatel,61,4
arithmetic,er1Tmet1k,78,4
arizona,Er1zone,564,4
ark,ark,199,1
arkansas,arkensa,102,3
arlington,arl1Nten,56,3
arm,arm,3336,1
armada,armade,55,3
armadillo,armed1lo,154,4
armageddon,armegEden,88,4
armchair,armCEr,21,2
armed,armd,1164,1
armenian,arminien,92,4
armenians,arminienz,42,4
armies,armiz,178,2
arming,arm1N,57,2
armoire,armwar,8,2
armor,arm3r,372,2
armored,arm3rd,166,2
armory,arm3ri,95,3
armour,arm3r,86,2
armoured,arm3rd,59,2
armpit,armp1t,64,2
armpits,armp1ts,50,2
armrest,armrEst,8,2
arms,armz,3050,1
armstrong,armstraN,264,2
armstrong,armstrcN,264,2
army,armi,4370,2
arnold,arneld,431,2
aroma,3rome,69,3
aroma,erome,69,3
arose,eroz,42,2
around,erOnd,37573,2
arouse,erOz,62,2
aroused,erOzd,113,2
arraigned,er8nd,33,2
arraignment,3r8nment,71,3
arrange,er8nG,791,2
arranged,er8nGd,824,2
arrangement,er8nGment,482,3
arrangements,er8nGments,502,3
arranging,3r8nG1N,95,3
array,er8,108,2
arrest,erEst,3037,2
arrested,erEst1d,1781,3
arrested,erEsted,1781,3
arresting,erEst1N,192,3
arrests,3rEsts,140,2
arrhythmia,er1Dmie,24,4
arrival,er5vel,422,3
arrivals,3r5velz,41,3
arrive,er5v,953,2
arrived,er5vd,1949,2
arrivederci,erived3rCi,60,5
arrives,er5vz,469,2
arriving,er5v1N,394,3
arrogance,Eregens,144,3
arrogant,Eregent,266,3
arrow,@ro,400,2
arrow,Ero,400,2
arrows,@roz,173,2
arrows,Eroz,173,2
arse,ars,191,1
arsenal,arsenel,102,3
arsenic,arsenek,63,3
arson,arsen,153,2
arsonist,arsen1st,52,3
arsonist,arsenest,52,3
art,art,3611,1
arterial,art1riel,68,4
arteries,art3riz,86,3
artery,art3ri,271,3
arthritis,arTr5t1s,99,3
arthur,arT3r,1687,2
artichoke,art1Cok,28,3
article,artekel,998,3
articles,art1kelz,308,3
articles,artekelz,308,3
articulate,art1kjul8t,85,4
artifact,artef@kt,56,3
artifacts,artef@kts,75,3
artifice,artef1s,3,3
artificial,artef1Sel,246,4
artillery,art1l3ri,280,4
artist,art1st,1460,2
artistic,art1st1k,251,3
artists,art1sts,412,2
arts,arts,470,1
artwork,artw3rk,78,2
arty,arti,55,2
aryan,arien,47,3
as,@z,113068,1
asbestos,@sbEstes,66,3
ascend,esEnd,47,2
